item,item_name,existing_avg,existing_min,cc_avg,cc_min,avg_ratio,min_ratio,cc_item_count,cc_last_seen
30437,Jagged Red Crystal,541941,325165,4400,4400,123.17,73.9,1,2026-06-08 15:25:18
11109,Special Chicken Feed,122620,118094,1000,1000,122.62,118.09,1,2026-06-29 21:45:34
53,Neophyte's Shirt,303409,134065,2500,2500,121.36,53.63,1,2026-06-25 18:45:06
23345,Scout's Shirt,1200372,720223,10000,10000,120.04,72.02,1,2026-06-24 22:45:18
11737,Libram of Voracity,57798,51230,494,494,117.0,103.7,6,2026-07-01 14:25:16
23197,Idol of the Moon,71543,42926,4996249,4995000,69.84,116.36,2,2026-07-01 14:45:20
23804,Schematic: Power Amplification Goggles,11618888,6971333,100000,100000,116.19,69.71,1,2026-06-19 14:25:32
844,Tanned Leather Gloves,50000,50000,432,432,115.74,115.74,1,2026-06-08 17:45:19
28270,Formula: Enchant Chest - Major Resilience,3343945,2658467,29549,29500,113.17,90.12,4,2026-07-01 15:05:19
45,Squire's Shirt,168883,101330,1500,1500,112.59,67.55,1,2026-06-27 21:25:34
23883,Schematic: Healing Potion Injector,99999595,99999595,888442,888442,112.56,112.56,1,2026-07-01 14:45:20
3285,Tribal Bracers,250651,150391,2300,2300,108.98,65.39,1,2026-07-01 14:05:16
35192,Schematic: Primal-Attuned Goggles,21245953,8312850,194999,194999,108.95,42.63,1,2026-04-11 05:22:27
28399,Filtered Draenic Water,134541,3497,1235,1235,108.94,2.83,1,2026-06-29 22:05:33
22710,Bloodthistle,6019,2265,56,54,107.48,41.94,20,2026-07-01 05:24:59
35202,Design: Amulet of Flowing Life,80336422,51255670,750000,750000,107.12,68.34,1,2026-06-30 13:25:06
117,Tough Jerky,5095,2729,48,48,106.15,56.85,12,2026-07-01 14:05:16
42434,Lovely Cake Slice,13951,9435,1000000,1000000,71.68,105.99,1,2026-06-28 22:25:44
3384,Minor Magic Resistance Potion,10595,6357,100,100,105.95,63.57,3,2026-06-30 03:05:28
4605,Red-speckled Mushroom,10496,6354,100,100,104.96,63.54,1,2026-06-28 00:05:31
22389,Plans: Sageblade,15699972,9419983,150000,150000,104.67,62.8,1,2026-06-29 13:05:17
19726,Bloodvine,11436,9071,908499,908000,79.44,100.1,5,2026-07-01 14:45:20
778,Kobold Excavation Pick,100,100,9999,9999,99.99,99.99,1,2026-06-25 23:05:03
13903,22 Pound Salmon,978735,573165,10100,10100,96.9,56.75,1,2026-02-08 22:22:46
42175,Pattern: Green Lumberjack Shirt,3028993,1087099,31400,31400,96.46,34.62,1,2026-06-30 13:45:11
18679,Frigid Ring,7481291,4488775,80000,80000,93.52,56.11,1,2026-06-15 03:45:16
5205,Sprouted Frond,189,113,10526,10526,55.69,93.15,5,2026-05-29 07:05:19
14861,Vanguard Vambraces,56867,35271,3388925,3252500,59.59,92.21,2,2026-07-01 14:25:16
35954,Sweetened Goat's Milk,99666,59800,1094,1094,91.1,54.66,20,2026-01-07 01:23:06
38513,Boarhide Leggings,171980,103188,1900,1900,90.52,54.31,1,2026-06-30 03:45:28
35195,Schematic: Mayhem Projection Goggles,9009599,7627691,100000,100000,90.1,76.28,1,2026-02-09 04:22:33
22541,Formula: Enchant Shield - Resistance,2609676,2285028,29000,29000,89.99,78.79,4,2026-07-01 14:45:20
3311,Ceremonial Leather Ankleguards,140456,140456,1599,1599,87.84,87.84,1,2026-02-05 15:42:41
3609,Plans: Copper Chain Vest,141,101,8698,8698,61.69,86.12,1,2026-07-01 14:05:16
11813,Formula: Smoking Heart of the Mountain,2581896,1454507,30000,30000,86.06,48.48,1,2026-06-27 19:45:33
42177,Pattern: Red Workman's Shirt,1812071,1112988,21500,21500,84.28,51.77,1,2026-07-01 15:25:22
1179,Ice Cold Milk,20,12,1663,1000,83.15,83.33,9,2026-07-01 14:05:16
20974,Design: Jade Pendant of Blasting,23499099,9726705,284999,270000,82.45,36.02,6,2026-07-01 14:45:20
1445,Blackrock Pauldrons,143119,24873,1750,1750,81.78,14.21,1,2026-06-23 12:45:01
16253,Formula: Enchant Chest - Greater Stats,99838065,41998193,1241499,1229999,80.42,34.14,15,2026-07-01 14:45:20
42172,Pattern: Red Lumberjack Shirt,7760687,4656412,97250,97000,79.8,48.0,3,2026-07-01 15:25:22
36862,Worn Troll Dice,3820271,2804400,48261,48261,79.16,58.11,6,2026-07-01 15:05:19
43413,Glyph of Rapid Charge,23099,13410,300,300,77.0,44.7,24,2026-07-01 15:25:22
6202,Fingerless Gloves,111,111,8500,8500,76.58,76.58,1,2026-06-20 08:25:24
3240,Coarse Weightstone,20,20,1500,1500,75.0,75.0,5,2026-06-27 01:45:27
1438,Warrior's Shield,2224,1334,99900,99900,44.92,74.89,1,2026-06-30 02:25:27
18519,Pattern: Shifting Cloak,18647945,7094804,250000,250000,74.59,28.38,1,2026-06-20 22:05:27
4358,Rough Dynamite,5292,318,71,71,74.54,4.48,100,2026-06-29 10:25:19
31877,Design: Infused Nightseye,3707082,1573000,50000,50000,74.14,31.46,1,2026-06-26 04:04:58
5237,Mind-numbing Poison,118275,9875,1600,1600,73.92,6.17,1,2026-01-10 01:02:59
3647,Bright Bracers,732149,647653,10000,10000,73.21,64.77,1,2026-07-01 13:25:15
4669,Battle Chain Girdle,200,200,14499,14000,72.5,70.0,2,2026-07-01 14:05:16
3889,Russet Hat,718703,431222,10000,10000,71.87,43.12,1,2026-06-19 10:25:31
5083,Pattern: Kodo Hide Bag,4888247,1577911,69750,69750,70.08,22.62,1,2026-06-30 23:05:18
6125,Brawler's Harness,179413,107648,7500000,7500000,41.8,69.67,1,2026-06-22 18:05:13
24167,Design: Living Ruby Pendant,10335961,2239858,150000,150000,68.91,14.93,1,2026-06-24 02:05:24
1468,Murloc Fin,6821,5168,99,99,68.9,52.2,68,2026-07-01 14:05:16
12825,Plans: Blazing Rapier,136834239,89687196,2000000,2000000,68.42,44.84,1,2026-06-12 07:24:43
5066,Fissure Plant,518,284,18600,18600,35.91,65.49,6,2026-06-17 19:25:23
3328,Spider Web Robe,65321,37250,1000,1000,65.32,37.25,1,2026-06-25 14:45:01
38770,Scroll of Enchant Cloak - Minor Resistance,97558,10597,1500,1500,65.04,7.06,1,2026-05-03 13:44:44
24205,Design: Rigid Dawnstone,7075097,2123474,109750,109500,64.47,19.39,3,2026-07-01 14:45:20
32755,Pattern: Mantle of Nimble Thought,12870294,5264869,200000,200000,64.35,26.32,1,2026-06-03 20:24:55
38802,Scroll of Enchant Gloves - Fishing,217476,132514,3400,3400,63.96,38.97,1,2026-06-22 05:25:04
6786,Simple Dress,159112,98286,2491,2476,63.87,39.7,10,2026-07-01 14:25:16
42701,Enchanted Pearl,18193,13403,850000,850000,46.72,63.42,2,2026-07-01 15:25:22
17050,Chan's Imperial Robes,27304476,9070105,450000,450000,60.68,20.16,1,2026-06-01 17:05:17
14375,Sanguine Cuffs,302958,9239,5000,5000,60.59,1.85,1,2026-07-01 14:25:16
14807,Bloodlust Bracelets,35498,27962,1691264,1691264,47.64,60.48,1,2026-07-01 14:25:16
32749,Pattern: Shoulders of Lightning Reflexes,7240293,4401956,120000,120000,60.34,36.68,1,2026-06-24 21:05:18
59,Acolyte's Shoes,656203,482548,11000,11000,59.65,43.87,1,2026-04-03 02:02:31
38876,Scroll of Enchant Weapon - Winter's Might,1745486,1170588,69000101,69000101,39.53,58.94,1,2026-05-30 00:05:26
932,Fel Steed Saddlebags,37281,21318,637,637,58.53,33.47,1,2026-07-01 10:25:15
731,Goretusk Snout,1550,930,27,27,57.41,34.44,1,2026-07-01 08:25:12
3422,Beautiful Wildflowers,570810,65887,10000,10000,57.08,6.59,1,2026-06-19 08:46:05
3335,Farmer's Broom,562929,219156,10000,10000,56.29,21.92,1,2026-05-25 16:45:49
39686,Neo-Dynamic Gear Assembly,489040,109227,8711,8711,56.14,12.54,4,2026-07-01 15:25:22
3419,Red Rose,11220,4470,200,200,56.1,22.35,2,2026-07-01 14:05:16
14510,Pattern: Bottomless Bag,27939,26940,1500000,1500000,53.69,55.68,1,2026-06-30 19:45:14
42173,Pattern: Blue Lumberjack Shirt,2201183,1409242,39600,39600,55.59,35.59,1,2026-07-01 15:25:22
15871,Truesilver Skeleton Key,4829,3367,186920,186920,38.71,55.52,3,2026-07-01 14:45:20
14464,Elunarian Silk Robes,2220000,2220000,40000,40000,55.5,55.5,1,2026-06-25 21:04:56
14855,Vanguard Gauntlets,74373,36208,3000000,2000000,40.34,55.24,2,2026-07-01 14:25:16
23154,Design: Stormy Azure Moonstone,5944609,3568545,107849,107500,55.12,33.2,2,2026-07-01 14:45:20
12824,Plans: Enchanted Battlehammer,136834239,89687196,2500000,2500000,54.73,35.87,1,2026-06-12 07:24:43
7338,Mood Ring,545389,46231,10000,10000,54.54,4.62,1,2026-05-20 11:25:24
2678,Mild Spices,21723,5408,400,400,54.31,13.52,60,2026-07-01 14:05:16
20815,Jeweler's Kit,108489,23002,2000,2000,54.24,11.5,11,2026-06-27 07:45:21
25653,Riding Crop,10276172,9669620,190000,190000,54.09,50.89,8,2026-07-01 14:45:20
14656,Scorpashi Cape,36603,21962,1178505,1178505,32.2,53.66,4,2026-06-30 08:05:15
35953,Mead Basted Caribou,530017,89531,10000,10000,53.0,8.95,5,2026-05-24 17:06:03
6588,Scouting Spaulders,36133,9726,682,680,52.98,14.3,4,2026-07-01 14:25:16
7676,Thistle Tea,90552,68427,1730,1730,52.34,39.55,10,2026-06-30 17:45:10
31126,Gloves of Ferocity,88077,28620,1497499,1497499,17.0,52.32,3,2026-07-01 15:05:19
11612,Plans: Dark Iron Plate,1294209,412990,25000,25000,51.77,16.52,1,2026-07-01 03:25:06
10306,Scroll of Spirit IV,1904,963,49800,49800,26.16,51.71,6,2026-07-01 14:25:16
24215,Design: Luminous Noble Topaz,2554761,1532857,50000,50000,51.1,30.66,1,2026-07-01 02:45:11
14801,Bloodlust Cape,27895,16737,1270569,850000,45.55,50.79,2,2026-07-01 14:25:16
159,Refreshing Spring Water,153844,3222,3046,3046,50.51,1.06,5,2026-07-01 13:05:13
4233,Cured Medium Hide,21665,16081,430,430,50.38,37.4,26,2026-07-01 14:05:16
19295,Darkmoon Flower,500201,125857,10000,10000,50.02,12.59,1,2026-06-10 09:04:43
2397,Light Mail Gloves,1000,1000,50000,50000,50.0,50.0,1,2026-05-19 03:45:25
2321,Fine Thread,3695,2217,74,74,49.93,29.96,16,2026-07-01 10:05:11
6889,Small Egg,4948,3355,100,100,49.48,33.55,280,2026-07-01 14:25:16
33954,Plans: Hammer of Righteous Might,1520443,1105526,75154999,309999,49.43,3.57,2,2026-07-01 15:05:19
6294,12 Pound Mud Snapper,123451,106771,2500,2500,49.38,42.71,1,2026-06-25 02:25:09
20978,Apprentice's Staff,540332,324199,11000,11000,49.12,29.47,1,2026-04-03 02:02:31
7228,Tigule and Foror's Strawberry Ice Cream,49025,5540,999,999,49.07,5.55,20,2026-06-11 21:24:46
8397,Pattern: Tough Scorpid Bracers,4511,1460,69900,69900,15.5,47.88,1,2026-07-01 14:25:16
39520,Kungaloosh,887,532,24798,24798,27.96,46.61,21,2026-07-01 15:25:22
17020,Arcane Powder,1803,1082,50000,50000,27.73,46.21,4,2026-07-01 14:45:20
22904,Recipe: Elixir of the Searching Eye,5467794,2305346,118750,108500,46.04,21.25,2,2026-07-01 14:45:20
5503,Clam Meat,11469,3430,250,250,45.88,13.72,169,2026-07-01 14:05:16
2251,Gooey Spider Leg,9069,8839,199,199,45.57,44.42,19,2026-07-01 14:05:16
24199,Design: Solid Star of Elune,2248136,1656562,50000,50000,44.96,33.13,1,2026-06-29 01:25:46
15728,Pattern: Wicked Leather Bracers,374491,184478,8500,8500,44.06,21.7,1,2026-06-10 05:45:02
4232,Medium Hide,7702,4589,175,166,44.01,27.64,181,2026-07-01 14:05:16
14045,Cindercloth Pants,95790,57474,2500000,2500000,26.1,43.5,1,2026-06-03 23:24:56
10507,Solid Dynamite,71100,31777,1643,1643,43.27,19.34,4,2026-07-01 14:25:16
23203,Libram of Fervor,70241,68750,3000000,1000000,42.71,14.55,2,2026-07-01 14:45:20
1928,Defias Mage Staff,212126,127276,5000,5000,42.43,25.46,1,2026-04-30 03:23:59
49,Footpad's Shirt,420000,420000,9900,9900,42.42,42.42,3,2026-07-01 14:05:16
2495,Walking Stick,712,712,30000,30000,42.13,42.13,1,2026-07-01 14:05:16
12631,Fiery Plate Gauntlets,39270,23562,990000,990000,25.21,42.02,1,2026-06-12 13:44:49
5081,Kodo Hide Bag,16800,10080,400,400,42.0,25.2,1,2026-06-13 05:05:02
5319,Bashing Pauldrons,62962,37777,1500,1500,41.97,25.18,1,2026-06-28 01:25:36
23329,Enriched Lasher Root,25158,11163,600,600,41.93,18.61,1,2026-07-01 14:45:20
4079,Chief Brigadier Leggings,26990,17029,713011,713011,26.42,41.87,1,2026-07-01 14:05:16
5957,Handstitched Leather Vest,33423,5286,800,800,41.78,6.61,1,2026-07-01 11:05:12
23473,Recruit's Shirt,412402,247441,9900,9900,41.66,24.99,1,2026-06-30 21:05:10
24214,Design: Potent Noble Topaz,3303970,1295319,80000,80000,41.3,16.19,1,2026-06-30 09:24:57
15410,Scale of Onyxia,246819,33469,6000,6000,41.14,5.58,3,2026-06-25 18:45:06
3424,Bouquet of Black Roses,6128957,6128957,150000,150000,40.86,40.86,1,2026-06-27 16:45:15
34751,Roasted Worg,39304,24029,965,965,40.73,24.9,66,2026-07-01 15:05:19
38944,Scroll of Enchant Boots - Boar's Speed,8002880,4801728,200000,200000,40.01,24.01,1,2026-02-08 16:02:47
5773,Pattern: Robes of Arcana,3592369,2155421,90000,90000,39.92,23.95,1,2026-07-01 01:05:16
11150,Formula: Enchant Gloves - Mining,159156,98682,4000,4000,39.79,24.67,4,2026-07-01 14:25:16
15299,Grizzly Cape,126,126,4999,4999,39.67,39.67,1,2026-07-01 14:25:16
35201,Design: Pendant of Sunfire,74978981,40421362,1940950,1940950,38.63,20.83,1,2026-01-09 22:22:59
2681,Roasted Boar Meat,690,414,18,18,38.33,23.0,30,2026-06-25 19:44:58
4248,Dark Leather Gloves,21780,13068,500000,500000,22.96,38.26,1,2026-06-30 03:05:28
13462,Purification Potion,44294,26576,1170,1170,37.86,22.71,3,2026-06-15 16:45:15
43365,Glyph of Blessing of Kings,226190,87161,6000,6000,37.7,14.53,21,2026-07-01 15:25:22
24218,Design: Radiant Talasite,1873024,597874,50000,50000,37.46,11.96,1,2026-07-01 14:45:20
14604,Warden's Wizard Hat,35924,21554,804998,804998,22.41,37.35,5,2026-07-01 14:25:16
3591,Padded Belt,18670,10691,500,500,37.34,21.38,1,2026-04-27 17:23:45
43725,Glyph of Ghost Wolf,186517,110307,5000,5000,37.3,22.06,22,2026-07-01 15:25:22
44737,Draenic Silk Robes,18600000,11160000,500000,500000,37.2,22.32,1,2026-07-01 15:25:22
3685,Raptor Egg,7846,3665,213,213,36.84,17.21,134,2026-07-01 14:05:16
5257,Dark Hooded Cape,1463380,1303661,39969,39969,36.61,32.62,1,2026-07-01 11:25:09
3667,Tender Crocolisk Meat,5414,3248,148,148,36.58,21.95,116,2026-07-01 14:05:16
3396,Recipe: Elixir of Lesser Agility,17964,12890,495,494,36.29,26.09,6,2026-07-01 14:05:16
2672,Stringy Wolf Meat,3864,3369,209,93,18.49,36.23,656,2026-07-01 14:05:16
6048,Shadow Protection Potion,2146,720,25999,25999,12.12,36.11,5,2026-06-11 20:24:49
3421,Simple Wildflowers,179779,99344,5000,5000,35.96,19.87,1,2026-06-21 15:45:20
22542,Formula: Enchant Boots - Vitality,7525651,2872933,216700,216700,34.73,13.26,7,2026-07-01 14:45:20
2168,Foreman's Boots,44951,27009,1300,1300,34.58,20.78,1,2026-02-15 10:22:34
8137,Chromite Bracers,45859,27515,934385,934385,20.38,33.96,1,2026-07-01 14:25:16
43647,Shimmering Minnow,3084,1487,91,90,33.89,16.52,47,2026-07-01 15:25:22
2092,Worn Dagger,2491,1495,50647,50647,20.33,33.88,1,2026-07-01 14:05:16
14838,Tyrant's Belt,45695,35510,1196643,1196643,26.19,33.7,1,2026-07-01 14:25:16
10608,Schematic: Sniper Scope,185236,158967,5500,5500,33.68,28.9,1,2026-07-01 14:25:16
15753,Pattern: Stormshroud Armor,3366632,1166877,100000,100000,33.67,11.67,1,2026-07-01 14:45:20
14829,Symbolic Legplates,43158,25895,870000,870000,20.16,33.6,1,2026-07-01 12:05:10
29714,Pattern: Drums of Restoration,1485110,318061,44200,44000,33.6,7.23,2,2026-07-01 15:05:19
35219,Pattern: Sun-Drenched Scale Chestguard,33779841,10390021,1010100,1010100,33.44,10.29,1,2026-06-30 05:25:23
6044,Plans: Iron Shield Spike,6532,2686,89749,89500,13.74,33.32,3,2026-07-01 14:05:16
42961,Glyph of Eviscerate,129715,42850,3900,3900,33.26,10.99,32,2026-07-01 15:25:22
2367,Woven Boots,200,200,6600,6600,33.0,33.0,1,2026-01-14 09:22:47
13885,34 Pound Redgill,245843,73346,7500,7500,32.78,9.78,1,2026-07-01 14:25:16
43652,Slippery Eel,5570,1928,170,170,32.76,11.34,15,2026-07-01 15:25:22
14821,Symbolic Breastplate,43506,26104,853860,853860,19.63,32.71,1,2026-06-30 08:05:15
32676,Depleted Cloth Bracers,8158819,4275000,250000,250000,32.64,17.1,1,2026-02-19 20:22:36
