item,tier,multiplier,avg,min,capped,floored
3788,class-subclass-quality,100.0,1200000,1125000,0,0
3789,class-subclass-quality,100.0,800000,750000,0,0
3791,class-subclass-quality,100.0,1200000,1125000,0,0
3861,class-subclass-quality,5.9875,2994,2975,0,0
4030,class-subclass-quality,100.0,1600000,1500000,0,0
4031,class-subclass-quality,100.0,1600000,1500000,0,0
4032,class-subclass-quality,100.0,2000000,1875000,0,0
4033,class-subclass-quality,100.0,2000000,1875000,0,0
4095,class-subclass-quality,162.0,400140,385938,0,0
4190,class-subclass-quality,16.5441,84855,66499,0,0
4191,class-subclass-quality,16.5441,85169,66746,0,0
4194,class-subclass-quality,16.5441,43031,33723,0,0
4195,class-subclass-quality,16.5441,60154,47142,0,0
4196,class-subclass-quality,3.5021,34040,28965,0,0
4437,class-subclass-quality,0.5243,4865,4587,0,0
4632,quality,1.355,271,237,0,0
4633,quality,1.355,379,332,0,0
4634,quality,1.355,474,414,0,0
4636,quality,1.355,596,521,0,0
4637,quality,1.355,813,710,0,0
4638,quality,1.355,1084,947,0,0
4686,class-subclass-quality,10.8438,3654,2905,0,0
4756,class-subclass-quality,162.0,3240,3125,0,0
4763,class-subclass-quality,0.6721,454,404,0,0
4767,class-subclass-quality,1.9794,1376,1173,0,0
4768,class-subclass-quality,1.9794,1382,1178,0,0
4772,class-subclass-quality,10.8438,3069,2440,0,0
4959,class-subclass-quality,162.0,162,156,0,0
5000,class-subclass-quality,1.5122,5822,5346,0,0
5004,class-subclass-quality,1.5122,10926,10032,0,0
5005,class-subclass-quality,1.5122,11130,10220,0,0
5008,class-subclass-quality,1.5122,9353,8588,0,0
5010,class-subclass-quality,1.5122,10911,10018,0,0
5013,class-subclass-quality,24.8,3770,3770,0,0
5024,class-quality,207.8,8312,6640,0,0
5047,class-quality,7.0,35000,31250,0,0
5049,class-subclass-quality,24.8,1240,1240,0,0
5105,class-subclass-quality,162.0,16200,15625,0,0
5108,class-subclass-quality,16.5441,133693,104773,0,0
5172,class-quality,207.8,20780,16600,0,0
5229,class-subclass-quality,24.8,3546,3546,0,0
5235,class-quality,17.9366,3695,3006,0,0
5255,class-subclass-quality,0.7574,2595,2069,0,0
5468,class-subclass-quality,13.5906,652,651,0,0
5495,no-anchor,0,0,0,0,0
5517,class-quality,207.8,41560,33200,0,0
5518,class-quality,207.8,124680,99600,0,0
5632,class-subclass-quality,4.3042,861,816,0,0
5654,class-quality,207.8,83120,66400,0,0
5748,class-subclass-quality,0.6721,2048,1820,0,0
5758,quality,1.355,1355,1184,0,0
5759,quality,1.355,2032,1776,0,0
5760,quality,1.355,2710,2368,0,0
5823,class-subclass-quality,24.8,496,496,0,0
5859,class-subclass-quality,24.8,2480,2480,0,0
5878,class-subclass-quality,24.8,9176,9176,0,0
5968,class-subclass-quality,1.435,1858,1637,0,0
6120,class-subclass-quality,100.0,100,94,0,0
6122,class-subclass-quality,100.0,500,469,0,0
6127,class-subclass-quality,100.0,500,469,0,0
6130,class-subclass-quality,100.0,100,94,0,0
6134,class-subclass-quality,100.0,100,94,0,0
6136,class-subclass-quality,100.0,400,375,0,0
6138,class-subclass-quality,100.0,500,469,0,0
6183,class-subclass-quality,24.8,248,248,0,0
6216,class-quality,6.394,160,155,0,0
6307,class-subclass-quality,162.0,648,625,0,0
6351,class-quality,207.8,831,664,0,0
6352,class-quality,207.8,831,664,0,0
6353,class-subclass-quality,162.0,648,625,0,0
6354,class-subclass-quality,162.0,648,625,0,0
6355,class-subclass-quality,162.0,648,625,0,0
6356,class-subclass-quality,162.0,648,625,0,0
6357,class-quality,207.8,831,664,0,0
6374,class-quality,6.394,3197,3100,0,0
6589,class-subclass-quality,1.5122,6389,5867,0,0
6643,class-quality,207.8,5195,4150,0,0
6644,class-quality,207.8,5195,4150,0,0
6645,class-quality,207.8,20780,16600,0,0
6646,class-quality,207.8,25975,20750,0,0
6647,class-quality,207.8,33248,26560,0,0
6651,class-quality,17.9366,21040,17119,0,0
6715,class-subclass-quality,11.4773,976,787,0,0
6834,class-subclass-quality,10.8438,65,52,0,0
6837,class-subclass-quality,100.0,600,562,0,0
6987,quality,15.0,825,766,0,0
7094,class-quality,17.9366,15641,12726,0,0
7187,class-subclass-quality,3.5021,10786,9178,0,0
7188,class-subclass-quality,1.0725,7964,7634,0,0
7426,class-subclass-quality,1.5122,7523,6908,0,0
7427,class-subclass-quality,1.5122,22918,21043,0,0
7466,class-subclass-quality,1.5122,11621,10671,0,0
7467,class-subclass-quality,1.5122,34229,31429,0,0
7497,class-subclass-quality,1.5122,11999,11018,0,0
7547,class-subclass-quality,1.5122,18706,17176,0,0
7548,class-subclass-quality,1.5122,39363,36143,0,0
7549,class-subclass-quality,1.5122,38833,35657,0,0
7550,class-subclass-quality,1.5122,46243,42461,0,0
7551,class-subclass-quality,1.5122,43219,39684,0,0
7809,class-subclass-quality,100.0,512400,480375,0,0
7996,class-subclass-quality,10.8438,13251,10534,0,0
8147,class-quality,207.8,83120,66400,0,0
8148,class-quality,207.8,311700,249000,0,0
8366,class-quality,207.8,83120,66400,0,0
8426,class-subclass-quality,162.0,1944,1875,0,0
8546,class-subclass-quality,24.8,4960,4960,0,0
8630,class-subclass-quality,162.0,5001155,5001155,1,0
8633,class-subclass-quality,162.0,5001155,5001155,1,0
9276,class-subclass-quality,162.0,64800,62500,0,0
9888,class-subclass-quality,1.0725,45107,43235,0,0
11099,class-subclass-quality,5.9875,5988,5950,0,0
11199,class-quality,16.5441,182,153,0,0
11200,class-quality,16.5441,182,153,0,0
11201,class-quality,16.5441,182,153,0,0
11308,class-subclass-quality,0.6721,52982,47085,0,0
11415,class-subclass-quality,10.6477,42591,41218,0,0
11903,class-quality,207.8,831200,664000,0,0
11937,class-subclass-quality,162.0,121338,117031,0,0
11966,class-subclass-quality,162.0,106596,102812,0,0
12253,class-subclass-quality,1.9794,35090,29930,0,0
12255,class-subclass-quality,1.9794,69254,59070,0,0
12258,class-subclass-quality,1.2291,27958,25658,0,0
12615,class-subclass-quality,1.2291,157633,144666,0,0
12616,class-subclass-quality,1.2291,120808,110871,0,0
12617,class-subclass-quality,1.2291,121241,111268,0,0
12763,class-subclass-quality,10.6477,42591,41218,0,0
12866,class-quality,0.6335,11371,10475,0,0
12904,class-subclass-quality,1.9794,129833,110741,0,0
13875,class-subclass-quality,162.0,648,625,0,0
13880,class-subclass-quality,162.0,24300,23438,0,0
13881,class-quality,207.8,83120,66400,0,0
13891,class-quality,207.8,83120,66400,0,0
13899,class-subclass-quality,100.0,1764100,1653844,0,0
13900,class-subclass-quality,100.0,3199300,3199300,1,0
13904,class-subclass-quality,162.0,16200,15625,0,0
13905,class-subclass-quality,162.0,16200,15625,0,0
13906,class-subclass-quality,162.0,32400,31250,0,0
13912,class-subclass-quality,162.0,58320,56250,0,0
13913,class-subclass-quality,162.0,64800,62500,0,0
13915,class-subclass-quality,162.0,81000,78125,0,0
13916,class-subclass-quality,162.0,97200,93750,0,0
13918,class-subclass-quality,162.0,648,625,0,0
14083,class-quality,17.9366,1937,1576,0,0
14550,class-subclass-quality,18.0814,795799,661233,0,0
15003,class-subclass-quality,16.5441,1654,1297,0,0
15326,class-subclass-quality,162.0,129600,125000,0,0
16026,class-quality,16.5441,1034586,872581,0,0
16027,class-quality,16.5441,784903,661995,0,0
16028,class-quality,16.5441,784903,661995,0,0
16029,class-quality,16.5441,399408,336865,0,0
16030,class-quality,16.5441,601379,507209,0,0
16031,class-quality,16.5441,603662,509135,0,0
16033,class-quality,16.5441,405447,341958,0,0
16034,class-subclass-quality,100.0,3199300,3199300,1,0
16035,class-quality,16.5441,612744,516795,0,0
16036,class-subclass-quality,100.0,3199300,3199300,1,0
16037,class-subclass-quality,100.0,3199300,3199300,1,0
16038,class-quality,16.5441,588673,496493,0,0
16171,class-subclass-quality,10.6477,42591,41218,0,0
16664,class-subclass-quality,1.2291,56749,52081,0,0
16792,class-subclass-quality,0.5971,26531,22957,0,0
16971,class-subclass-quality,10.6477,12777,12365,0,0
16999,class-subclass-quality,4.41,188912,139505,0,0
17019,class-quality,207.8,145460,116200,0,0
17024,class-quality,207.8,145460,116200,0,0
17027,class-quality,207.8,83120,66400,0,0
17967,class-quality,5.3309,106618,106187,0,0
17968,class-quality,5.3309,106618,106187,0,0
18002,class-quality,17.9366,448,365,0,0
18023,class-subclass-quality,4.41,274096,202410,0,0
18231,class-subclass-quality,100.0,144500,135469,0,0
18300,class-subclass-quality,10.6477,42591,41218,0,0
18341,class-subclass-quality,5.4959,103372,82922,0,0
18342,class-quality,3.1348,189409,170762,0,0
18636,class-subclass-quality,11.4773,4591,3702,0,0
18671,class-subclass-quality,1.236,295068,214231,0,0
18673,class-quality,3.1348,482492,434993,0,0
18676,class-subclass-quality,2.2414,174036,156893,0,0
18677,class-subclass-quality,1.9794,119350,101799,0,0
18678,class-subclass-quality,4.41,469848,346966,0,0
19291,class-subclass-quality,1.9966,89250,89250,1,0
20259,class-subclass-quality,3.5021,222805,189588,0,0
20261,class-subclass-quality,3.5021,224507,191037,0,0
20280,class-subclass-quality,0.7635,219798,217686,0,0
20285,class-subclass-quality,0.6606,119441,109071,0,0
20311,class-subclass-quality,1.435,88370,77836,0,0
20314,class-subclass-quality,1.435,89317,78671,0,0
20351,class-subclass-quality,1.9794,90497,77189,0,0
20352,class-subclass-quality,1.9794,90849,77490,0,0
20355,class-subclass-quality,1.9794,91892,78379,0,0
20583,class-subclass-quality,1.5122,35830,32900,0,0
20584,class-subclass-quality,1.5122,35963,33022,0,0
20585,class-subclass-quality,1.5122,36099,33147,0,0
20586,class-subclass-quality,1.5122,36236,33272,0,0
20587,class-subclass-quality,1.5122,36370,33395,0,0
20588,class-subclass-quality,1.5122,36503,33518,0,0
20589,class-subclass-quality,1.5122,36639,33643,0,0
20590,class-subclass-quality,1.5122,37749,34662,0,0
20591,class-subclass-quality,1.5122,75771,69573,0,0
20592,class-subclass-quality,1.5122,38017,34908,0,0
20593,class-subclass-quality,1.5122,38153,35032,0,0
20594,class-subclass-quality,1.5122,38289,35157,0,0
20595,class-subclass-quality,1.5122,38425,35282,0,0
20596,class-subclass-quality,1.5122,77117,70809,0,0
20597,class-subclass-quality,1.5122,35015,32151,0,0
20598,class-subclass-quality,1.5122,35151,32276,0,0
20652,class-subclass-quality,1.9794,127256,108542,0,0
20656,class-subclass-quality,1.2291,112275,103039,0,0
20667,class-subclass-quality,1.435,80780,71151,0,0
20670,class-subclass-quality,1.2291,77918,71508,0,0
20692,class-subclass-quality,1.5122,80829,74218,0,0
20693,class-subclass-quality,1.9794,118616,101173,0,0
20694,class-subclass-quality,1.5122,107842,99021,0,0
20695,class-subclass-quality,4.41,639506,472253,0,0
20697,class-subclass-quality,5.4959,418066,335359,0,0
20708,class-subclass-quality,162.0,1620,1562,0,0
20720,class-subclass-quality,1.1754,317738,295346,0,0
20721,class-subclass-quality,4.41,684268,505308,0,0
20722,class-quality,1.6029,327341,258600,0,0
20819,no-anchor,0,0,0,0,0
20822,no-anchor,0,0,0,0,0
20825,no-anchor,0,0,0,0,0
20829,no-anchor,0,0,0,0,0
20895,class-subclass-quality,100.0,500,469,0,0
20902,class-subclass-quality,10.8438,76,60,0,0
20903,class-subclass-quality,10.8438,54,43,0,0
20904,class-subclass-quality,5.8824,65,57,0,0
20908,class-quality,207.8,2701,2158,0,0
20913,class-quality,16.5441,1390,1172,0,0
20952,no-anchor,0,0,0,0,0
20953,no-anchor,0,0,0,0,0
20957,class-quality,6.1291,21452,17792,0,0
20962,no-anchor,0,0,0,0,0
20965,no-anchor,0,0,0,0,0
20977,class-quality,17.9366,323,263,0,0
20979,class-quality,17.9366,664,540,0,0
20981,class-quality,17.9366,664,540,0,0
20984,class-quality,16.5441,199,167,0,0
21113,class-subclass-quality,162.0,1620,1562,0,0
21135,quality,2.6968,3,2,0,0
21150,class-subclass-quality,162.0,1620,1562,0,0
21162,class-quality,207.8,20780,16600,0,0
21163,class-quality,207.8,33248,26560,0,0
21164,class-quality,207.8,83120,66400,0,0
21168,no-anchor,0,0,0,0,0
21228,class-subclass-quality,162.0,1620,1562,0,0
21243,class-quality,207.8,83120,66400,0,0
21560,class-quality,207.8,2078,1660,0,0
21575,class-quality,207.8,20780,16600,0,0
21577,class-quality,207.8,20780,16600,0,0
21578,class-quality,207.8,20780,16600,0,0
21591,class-quality,207.8,10390,8300,0,0
21717,class-quality,207.8,41560,33200,0,0
21719,class-quality,207.8,41560,33200,0,0
21720,class-quality,207.8,41560,33200,0,0
21772,no-anchor,0,0,0,0,0
21773,no-anchor,0,0,0,0,0
21800,class-quality,1.6029,316767,250246,0,0
21802,class-subclass-quality,1.1754,312118,290122,0,0
21804,class-subclass-quality,2.2414,269869,243285,0,0
21829,class-quality,207.8,20780,16600,0,0
21833,class-quality,207.8,20780,16600,0,0
22203,class-subclass-quality,5.9875,119750,119000,0,0
22596,class-quality,17.9366,395,321,0,0
22682,class-quality,5.3309,426472,424748,0,0
22782,class-subclass-quality,1.9794,4103,3500,0,0
23076,no-anchor,0,0,0,0,0
23090,class-subclass-quality,2.1663,198568,183332,0,0
23091,class-subclass-quality,5.4959,287286,230452,0,0
23092,class-subclass-quality,2.2414,176376,159002,0,0
23093,class-subclass-quality,3.5021,230485,196123,0,0
23157,class-quality,6.1291,19613,16267,0,0
23346,class-quality,17.9366,807,657,0,0
23347,class-quality,17.9366,484,394,0,0
23348,class-subclass-quality,100.0,500,469,0,0
23350,class-subclass-quality,10.8438,76,60,0,0
23362,class-quality,10.7867,4838631,3601869,0,0
23363,class-subclass-quality,19.6016,6178166,4815589,0,0
23471,class-subclass-quality,10.8438,76,60,0,0
23475,class-subclass-quality,100.0,500,469,0,0
23683,no-anchor,0,0,0,0,0
23684,no-anchor,0,0,0,0,0
23822,class-subclass-quality,4.3042,529515,529515,1,0
23823,class-subclass-quality,4.3042,529515,529515,1,0
23854,class-quality,5.3309,85294,84950,0,0
23855,class-quality,5.3309,85294,84950,0,0
23858,class-subclass-quality,162.0,972000,937500,0,0
23866,class-subclass-quality,162.0,972000,937500,0,0
23867,class-subclass-quality,162.0,972000,937500,0,0
24071,class-subclass-quality,1.1754,335623,311971,0,0
24100,class-quality,17.9366,646,525,0,0
24144,class-subclass-quality,10.8438,878,698,0,0
24288,class-quality,5.3309,319854,318561,0,0
24412,quality,2.6968,13484,12255,0,0
24690,class-subclass-quality,1.9794,308905,263479,0,0
24792,class-subclass-quality,1.435,255674,225199,0,0
24798,class-subclass-quality,1.435,133827,117875,0,0
24799,class-subclass-quality,1.435,201500,177482,0,0
24800,class-subclass-quality,1.435,269678,237534,0,0
24910,class-subclass-quality,1.2291,137046,125772,0,0
24912,class-subclass-quality,1.2291,276144,253428,0,0
25020,class-subclass-quality,0.9398,176831,156575,0,0
25025,class-subclass-quality,0.9398,123879,109689,0,0
25026,class-subclass-quality,0.9398,190077,168304,0,0
25027,class-subclass-quality,0.9398,254824,225634,0,0
25085,class-subclass-quality,1.0725,263857,252907,0,0
25145,class-subclass-quality,0.8205,249764,240718,0,0
25155,class-subclass-quality,0.8205,312010,300709,0,0
25159,class-subclass-quality,0.7018,261309,225955,0,0
25173,class-subclass-quality,0.5243,190966,180057,0,0
25197,class-subclass-quality,0.4989,191065,181282,0,0
25225,class-subclass-quality,0.7635,349408,346051,0,0
25285,class-subclass-quality,0.8177,178026,166775,0,0
25323,class-subclass-quality,0.5971,222829,192809,0,0
25337,class-subclass-quality,0.5243,239013,225360,0,0
25627,class-subclass-quality,1.0725,225293,215943,0,0
27446,quality,2.6968,11,10,0,0
27481,class-quality,207.8,831,664,0,0
27511,class-subclass-quality,12.5,1250,1245,0,0
27513,class-subclass-quality,12.5,1000,996,0,0
29378,class-subclass-quality,0.8177,219073,205228,0,0
30418,class-quality,1.6029,475303,375490,0,0
30457,class-subclass-quality,10.6477,68145,65948,0,0
30458,class-subclass-quality,10.6477,59627,57705,0,0
30610,class-subclass-quality,10.6477,59627,57705,0,0
30723,class-quality,10.7867,6518565,4852410,0,0
30724,class-quality,10.7867,4906684,3652528,0,0
30725,class-subclass-quality,28.2915,3444576,2828171,0,0
30726,class-subclass-quality,20.9732,8622294,6676317,0,0
30727,class-subclass-quality,28.2915,6940189,5698247,0,0
30728,class-subclass-quality,13.7643,3812191,3028200,0,0
30730,class-subclass-quality,18.0814,5605077,4657284,0,0
30731,class-subclass-quality,19.6016,6391157,4981605,0,0
30732,class-quality,10.7867,7814460,5817072,0,0
30733,class-quality,10.7867,6275896,4671767,0,0
30734,class-subclass-quality,28.2915,6609716,5426911,0,0
30735,class-subclass-quality,28.2915,4976419,4085892,0,0
30736,class-subclass-quality,20.9732,5055034,3914156,0,0
30737,class-subclass-quality,18.0814,4005794,3328432,0,0
30738,class-subclass-quality,20.9732,5055034,3914156,0,0
30739,class-subclass-quality,13.7643,4915758,3904815,0,0
30740,class-subclass-quality,19.6016,6136905,4783428,0,0
30741,class-subclass-quality,19.6016,4138072,3225432,0,0
30760,class-subclass-quality,10.8438,602417,478914,0,0
31266,class-quality,17.9366,413,336,0,0
31562,class-subclass-quality,3.5021,806293,686086,0,0
31570,class-subclass-quality,2.2414,593115,534691,0,0
31572,class-subclass-quality,2.2414,597434,538584,0,0
31952,quality,1.355,4065,3552,0,0
32453,class-subclass-quality,10.6477,106477,103044,0,0
32455,class-subclass-quality,10.6477,12777,12365,0,0
32596,no-anchor,0,0,0,0,0
32597,no-anchor,0,0,0,0,0
32599,no-anchor,0,0,0,0,0
32600,no-anchor,0,0,0,0,0
32601,no-anchor,0,0,0,0,0
32655,class-subclass-quality,28.2915,2928029,2404060,0,0
32656,class-subclass-quality,13.7643,2144837,1703744,0,0
32658,class-subclass-quality,4.41,176401,130266,0,0
32659,class-subclass-quality,1.1754,502927,467485,0,0
32660,class-subclass-quality,2.186,964287,765305,0,0
32664,class-subclass-quality,4.41,775952,573014,0,0
32762,class-subclass-quality,4.3042,861,816,0,0
32763,class-subclass-quality,4.3042,861,816,0,0
32765,class-quality,7.0,560000,500000,0,0
32766,class-quality,7.0,560000,500000,0,0
32767,class-quality,7.0,140000,125000,0,0
32914,class-quality,10.7867,5318996,3959452,0,0
33081,class-subclass-quality,24.8,496,496,0,0
33197,class-subclass-quality,1.5122,78635,72203,0,0
33350,class-quality,1.6029,2271529,1794507,0,0
33865,class-quality,17.085,27336,21333,0,0
34187,class-subclass-quality,100.0,500,469,0,0
34627,class-quality,1.6231,194778,180666,0,0
34645,no-anchor,0,0,0,0,0
34716,class-subclass-quality,10.8438,33,26,0,0
34718,class-subclass-quality,100.0,500,469,0,0
34735,class-subclass-quality,13.5906,10872,10848,0,0
34737,class-subclass-quality,13.5906,10872,10848,0,0
34738,class-subclass-quality,13.5906,10872,10848,0,0
34739,class-subclass-quality,13.5906,10872,10848,0,0
34740,class-subclass-quality,13.5906,10872,10848,0,0
34741,class-subclass-quality,13.5906,10872,10848,0,0
34742,class-subclass-quality,13.5906,10872,10848,0,0
34743,class-subclass-quality,13.5906,10872,10848,0,0
34744,class-subclass-quality,13.5906,10872,10848,0,0
34745,class-subclass-quality,13.5906,10872,10848,0,0
34746,class-subclass-quality,13.5906,10872,10848,0,0
35285,class-subclass-quality,13.5906,2718,2712,0,0
35286,class-quality,207.8,83120,66400,0,0
35287,class-subclass-quality,24.8,4960,4960,0,0
35396,class-subclass-quality,24.8,16120,16120,0,0
35397,class-subclass-quality,24.8,16120,16120,0,0
35398,class-subclass-quality,24.8,16120,16120,0,0
35399,class-subclass-quality,24.8,16120,16120,0,0
35400,class-subclass-quality,24.8,16120,16120,0,0
35417,class-subclass-quality,24.8,16120,16120,0,0
35418,class-subclass-quality,24.8,16120,16120,0,0
35419,class-subclass-quality,24.8,16120,16120,0,0
35420,class-subclass-quality,24.8,16120,16120,0,0
35421,class-subclass-quality,24.8,16120,16120,0,0
35422,class-subclass-quality,24.8,16120,16120,0,0
35423,class-subclass-quality,24.8,16120,16120,0,0
35424,class-subclass-quality,24.8,16120,16120,0,0
35425,class-subclass-quality,24.8,16120,16120,0,0
35426,class-subclass-quality,24.8,16120,16120,0,0
35427,class-subclass-quality,24.8,16120,16120,0,0
35428,class-subclass-quality,24.8,16120,16120,0,0
35429,class-subclass-quality,24.8,16120,16120,0,0
35430,class-subclass-quality,24.8,16120,16120,0,0
35431,class-subclass-quality,24.8,16120,16120,0,0
35432,class-subclass-quality,24.8,16120,16120,0,0
35433,class-subclass-quality,24.8,16120,16120,0,0
35434,class-subclass-quality,24.8,16120,16120,0,0
35435,class-subclass-quality,24.8,16120,16120,0,0
35436,class-subclass-quality,24.8,16120,16120,0,0
35437,class-subclass-quality,24.8,16120,16120,0,0
35438,class-subclass-quality,24.8,16120,16120,0,0
35439,class-subclass-quality,24.8,16120,16120,0,0
35440,class-subclass-quality,24.8,16120,16120,0,0
35441,class-subclass-quality,24.8,16120,16120,0,0
35442,class-subclass-quality,24.8,16120,16120,0,0
35443,class-subclass-quality,24.8,16120,16120,0,0
35444,class-subclass-quality,24.8,16120,16120,0,0
35445,class-subclass-quality,24.8,16120,16120,0,0
35446,class-subclass-quality,24.8,16120,16120,0,0
35447,class-subclass-quality,24.8,16120,16120,0,0
35448,class-subclass-quality,24.8,16120,16120,0,0
35449,class-subclass-quality,24.8,16120,16120,0,0
35450,class-subclass-quality,24.8,16120,16120,0,0
35451,class-subclass-quality,24.8,16120,16120,0,0
35452,class-subclass-quality,24.8,16120,16120,0,0
35453,class-subclass-quality,24.8,16120,16120,0,0
35454,class-subclass-quality,24.8,16120,16120,0,0
35455,class-subclass-quality,24.8,16120,16120,0,0
35456,class-subclass-quality,24.8,16120,16120,0,0
35457,class-subclass-quality,24.8,16120,16120,0,0
35458,class-subclass-quality,24.8,16120,16120,0,0
35459,class-subclass-quality,24.8,16120,16120,0,0
35460,class-subclass-quality,24.8,16120,16120,0,0
35461,class-subclass-quality,24.8,16120,16120,0,0
