item,cost,avg_price,min_price,reagent_sources
10841,6420,8346,6420,"3821:cc,159:cc"
11024,542,705,542,"11018:vendor,11022:vendor"
11130,118827,154475,118827,"11128:cc,5500:cc,11082:cc,11083:cc,6339:derived"
11145,326915,424990,326915,"11144:cc,7971:cc,11135:cc,11137:cc,11130:derived"
11604,5031352,6540758,5031352,"11371:cc,7077:cc"
11605,1503919,1955095,1503919,"11371:cc,7077:cc"
11606,2507838,3260189,2507838,"11371:cc,7077:cc"
11607,6515676,8470379,6515676,"11371:cc,7077:cc"
11608,4515676,5870379,4515676,"11371:cc,7077:cc"
11811,458280,595764,458280,"7078:cc,14343:cc"
12144,45,58,45,9280:derived
12215,16000,20800,16000,12204:cc
12224,98,127,98,12223:cc
12415,507780,660114,507780,"12359:cc,7077:cc,7910:cc"
12417,500218,650283,500218,"12359:cc,7077:cc"
12420,554056,720273,554056,"12359:cc,7077:cc"
12429,646056,839873,646056,12359:cc
12443,11463,14902,11463,"12442:vendor,12440:none"
12610,686580,892554,686580,"12359:cc,12360:cc,3577:cc"
12611,677230,880399,677230,"12359:cc,12360:cc,2842:cc"
12612,1130021,1469027,1130021,"12359:cc,12360:cc,6037:cc,12364:cc"
12613,1212160,1575808,1212160,"12359:cc,12360:cc,7910:cc"
12614,1212160,1575808,1212160,"12359:cc,12360:cc,7910:cc"
12618,3283930,4269109,3283930,"12360:cc,12655:cc,7076:cc,7080:cc,12364:cc,12800:cc"
12619,3379781,4393715,3379781,"12360:cc,12655:cc,7080:cc,12361:cc,12364:cc"
12620,1360516,1768671,1360516,"12360:cc,12655:cc,7076:cc,12799:cc,12800:cc"
12624,2702969,3513860,2702969,"12359:cc,12655:cc,12803:cc,8153:cc,12364:cc"
12625,1967942,2558325,1967942,"12359:cc,12360:cc,12364:cc,7080:cc"
12628,1344360,1747668,1344360,"12359:cc,12662:vendor,12361:cc,7910:cc"
12632,2346380,3050294,2346380,"12359:cc,12655:cc,7080:cc,12361:cc"
12633,1029246,1338020,1029246,"12359:cc,12655:cc,6037:cc,3577:cc,12800:cc"
12636,2388182,3104637,2388182,"12359:cc,12655:cc,12799:cc,12364:cc"
12639,2476520,3219476,2476520,"12360:cc,12655:cc,7076:cc,12361:cc,12799:cc"
12640,4230832,5500082,4230832,"12359:cc,12360:cc,12361:cc,12800:cc"
12641,4422654,5749450,4422654,"12360:cc,12655:cc,12364:cc,12800:cc"
12764,315190,409747,315190,"12359:cc,12644:cc,8170:cc"
12769,3921072,5097394,3921072,"12359:cc,12803:cc,8153:cc,12799:cc,12644:cc,8170:cc"
12772,975040,1267552,975040,"12359:cc,3577:cc,6037:cc,12361:cc,8170:cc"
12773,613810,797953,613810,"12359:cc,12799:cc,12644:cc,8170:cc"
12776,1045142,1358685,1045142,"12359:cc,12655:cc,12364:cc,12804:cc,8170:cc"
12777,1094332,1422632,1094332,"12655:cc,7078:cc,7077:cc,12800:cc,12644:cc"
12779,1152190,1497847,1152190,"12359:cc,12799:cc,12644:cc,8170:cc"
12781,783601,1018681,783601,"12655:cc,12360:cc,12804:cc,12799:cc,12361:cc,12364:cc"
12782,1568360,2038868,1568360,"12359:cc,12360:cc,12662:vendor,12808:cc,12361:cc,12644:cc,8170:cc"
12783,3058228,3975696,3058228,"12360:cc,12655:cc,12810:cc,7910:cc,12800:cc,12799:cc,12644:cc"
12784,1592000,2069600,1592000,"12360:cc,12810:cc,12644:cc"
12790,4051280,5266664,4051280,"12360:cc,12800:cc,12811:cc,12799:cc,12810:cc,12644:cc"
12792,928846,1207500,928846,"12359:cc,7077:cc,7910:cc,8170:cc"
12794,3544296,4607585,3544296,"12655:cc,12364:cc,12799:cc,7076:cc,12810:cc"
12795,810800,1054040,810800,"12655:cc,12360:cc,12662:vendor,7910:cc,12644:cc"
12796,3425626,4453314,3425626,"12359:cc,12360:cc,12809:cc,12810:cc,7076:cc"
12797,5044624,6558011,5044624,"12360:cc,12361:cc,12800:cc,7080:cc,12644:cc,12810:cc"
12798,3911008,5084310,3911008,"12359:cc,12360:cc,12808:cc,12364:cc,12644:cc,12810:cc"
12802,1112218,1445883,1112218,"12655:cc,12804:cc,12364:cc,12800:cc,12644:cc"
13460,7634,9924,7634,"7069:cc,13463:cc,8925:cc"
13503,10851107,14106439,10851107,"9149:derived,25867:cc,25868:cc,22794:cc,23571:cc"
13867,182106,236738,182106,"14048:cc,14227:cc,8170:cc,14341:cc"
14044,223500,290550,223500,"14048:cc,7078:cc,14341:cc"
14104,106100,137930,106100,"14048:cc,3577:cc"
14128,124306,161598,124306,"14048:cc,11176:cc,14341:cc"
14130,117262,152441,117262,"14048:cc,11176:cc,7910:cc,14341:cc"
14136,2439546,3171410,2439546,"14048:cc,14256:cc,12808:cc,7080:cc,14341:cc"
14137,1088550,1415115,1088550,"14048:cc,14342:cc,14341:cc"
14138,1088550,1415115,1088550,"14048:cc,14342:cc,14341:cc"
14139,1324000,1721200,1324000,"14048:cc,14342:cc,14341:cc"
14140,1905028,2476536,1905028,"14048:cc,14342:cc,12800:cc,12810:cc,14341:cc"
14141,89100,115830,89100,"14048:cc,9210:cc"
14142,69100,89830,69100,"14048:cc,9210:cc"
14143,69100,89830,69100,"14048:cc,9210:cc"
14144,123650,160745,123650,"14048:cc,9210:cc"
14146,25059686,32577592,25059686,"14048:cc,14342:cc,9210:cc,13926:cc,12364:cc,12810:cc,14341:cc"
14152,10611370,13794781,10611370,"14048:cc,7078:cc,7082:cc,7076:cc,7080:cc,14341:cc"
14153,4296420,5585346,4296420,"14048:cc,12662:vendor,14256:cc,7078:cc,12808:cc,14341:cc"
14154,17816764,23161793,17816764,"14048:cc,14342:cc,12811:cc,13926:cc,9210:cc,14341:cc"
14645,53838,69989,53838,12359:cc
15047,1038220,1349686,1038220,"8170:cc,15414:cc,14341:cc"
15048,625900,813670,625900,"8170:cc,15415:cc,15407:cc,14341:cc"
15049,755900,982670,755900,"8170:cc,15415:cc,12810:cc,15407:cc,14341:cc"
15050,547150,711295,547150,"8170:cc,15416:cc,15407:cc,14341:cc"
15052,547150,711295,547150,"8170:cc,15416:cc,15407:cc,14341:cc"
15053,306678,398681,306678,"8170:cc,7078:cc,7076:cc,14341:cc"
15054,235326,305924,235326,"8170:cc,7078:cc,7075:cc,14341:cc"
15055,329928,428906,329928,"8170:cc,7078:cc,7076:cc,14341:cc"
15056,1483897,1929066,1483897,"8170:cc,7082:cc,15407:cc,14341:cc"
15057,1035248,1345822,1035248,"8170:cc,7082:cc,14341:cc"
15058,1454003,1890204,1454003,"8170:cc,7082:cc,14227:cc"
15059,3441142,4473485,3441142,"8170:cc,12803:cc,14342:cc,15407:cc,14341:cc"
15060,2254144,2930387,2254144,"8170:cc,12803:cc,15407:cc,14341:cc"
15061,1504746,1956170,1504746,"8170:cc,12803:cc,14341:cc"
15064,328234,426704,328234,"8170:cc,15419:cc,14341:cc"
15066,419855,545812,419855,"8170:cc,17056:cc,1529:cc,15407:cc,14341:cc"
15067,291680,379184,291680,"8170:cc,17056:cc,1529:cc,14341:cc"
15068,551150,716495,551150,"8170:cc,7080:cc,15407:cc,14341:cc"
15070,464250,603525,464250,"8170:cc,7080:cc,14341:cc"
15071,442250,574925,442250,"8170:cc,7080:cc,14341:cc"
15074,410124,533161,410124,"8170:cc,12803:cc,14341:cc"
15076,197918,257293,197918,"8170:cc,15408:cc,14341:cc"
15078,241474,313916,241474,"8170:cc,15408:cc,14341:cc"
15079,350586,455762,350586,"8170:cc,15408:cc,14341:cc"
15081,481042,625355,481042,"8170:cc,15408:cc,15407:cc,14341:cc"
15085,382666,497466,382666,"8170:cc,15407:cc,14256:cc,2325:cc,14341:cc"
15090,546550,710515,546550,"8170:cc,12810:cc,14047:cc,15407:cc,14341:cc"
15095,346050,449865,346050,"8170:cc,14047:cc,12810:cc,14341:cc"
15096,483350,628355,483350,"8170:cc,12810:cc,14047:cc,15407:cc,14341:cc"
15141,1114500,1448850,1114500,"8170:cc,15410:cc,15416:cc,14341:cc"
15802,1167378,1517591,1167378,"14048:cc,14342:cc,7971:cc,14341:cc"
16004,3193620,4151706,3193620,"16000:cc,11371:cc,10546:cc,12361:cc,12799:cc,8170:cc"
16005,265704,345415,265704,"15994:cc,11371:cc,15992:cc,14047:cc"
16007,2131512,2770966,2131512,"12360:cc,16000:cc,7078:cc,7076:cc,12800:cc,12810:cc"
16008,810562,1053731,810562,"10500:cc,12364:cc,12810:cc"
16009,1052481,1368225,1052481,"16006:cc,10558:cc,15994:cc,12799:cc"
16023,348091,452518,348091,"10561:cc,16000:cc,15994:cc,6037:cc,8170:cc,14047:cc"
16207,4602144,5982787,4602144,"16206:cc,13926:cc,16204:cc,16203:cc,11145:derived,14344:cc"
16642,248,322,248,"16645:vendor,16646:vendor,16647:vendor,16648:vendor"
16643,248,322,248,"16649:vendor,16650:vendor,16651:vendor,16652:vendor"
16644,248,322,248,"16653:vendor,16654:vendor,16655:vendor,16656:vendor"
16979,1085700,1411410,1085700,"14048:cc,17010:cc,7078:cc,12810:cc,14341:cc"
16980,1281796,1666335,1281796,"14048:cc,17010:cc,17011:cc,12810:cc,14341:cc"
16982,2019028,2624736,2019028,"17012:cc,17010:cc,17011:cc,14341:cc"
16983,1438510,1870063,1438510,"17012:cc,17010:cc,17011:cc,14341:cc"
16984,718522,934079,718522,"15416:cc,17010:cc,17011:cc,14341:cc"
16988,4853570,6309641,4853570,"11371:cc,17010:cc,17011:cc"
16989,2036022,2646829,2036022,"11371:cc,17010:cc,17011:cc"
17013,4992444,6490177,4992444,"11371:cc,17010:cc,17011:cc"
17014,1357348,1764552,1357348,"11371:cc,17010:cc,17011:cc"
17015,4745600,6169280,4745600,"11371:cc,17010:cc,11382:cc,12810:cc"
17016,6434488,8364834,6434488,"11371:cc,17011:cc,11382:cc,12810:cc"
17182,38414240,49938512,38414240,"17193:derived,17204:vendor"
17193,38214240,49678512,38214240,"17203:cc,11371:cc,12360:cc,7078:cc,11382:cc,17011:cc,17010:cc"
17197,10100,13130,10100,"6889:cc,17194:cc"
17198,71292,92680,71292,"6889:cc,1179:cc,17196:cc,17194:cc"
17333,45,58,45,9282:derived
17353,45,58,45,9282:derived
17442,45,58,45,9282:derived
17704,120728,156946,120728,"3859:cc,3829:cc,7070:cc,7069:cc,4234:cc"
17708,16572,21544,16572,"3819:cc,3358:cc,3372:cc"
17716,410224,533291,410224,"3860:cc,4389:cc,17202:cc,3829:cc"
17721,113460,147498,113460,"4234:cc,7067:cc,4291:cc"
18168,9347904,12152275,9347904,"12360:cc,16006:cc,7082:cc,12803:cc,7076:cc"
18251,227497,295746,227497,"17012:cc,14341:cc"
18258,74350,96655,74350,"14048:cc,8170:cc,18240:none,14341:cc"
18263,2512400,3266120,2512400,"14342:cc,17010:cc,7078:cc,12810:cc,14341:cc"
18282,2232948,2902832,2232948,"17010:cc,17011:cc,12360:cc,16006:cc,16000:cc"
18283,3978604,5172185,3978604,"17011:cc,7076:cc,16006:cc,11371:cc,16000:cc"
18405,9800910,12741183,9800910,"14048:cc,9210:cc,14342:cc,7080:cc,7078:cc,14344:cc,14341:cc"
18407,1391360,1808768,1391360,"14048:cc,14256:cc,12662:vendor,12808:cc,14341:cc"
18408,1702900,2213770,1702900,"14048:cc,7078:cc,7910:cc,14341:cc"
18409,8512100,11065730,8512100,"14048:cc,14342:cc,13926:cc,14341:cc"
18413,347496,451745,347496,"14048:cc,12809:cc,12360:cc,14341:cc"
18486,7924800,10302240,7924800,"14048:cc,14342:cc,13926:cc,14341:cc"
18504,287900,374270,287900,"8170:cc,12804:cc,15407:cc,14341:cc"
18506,2750294,3575382,2750294,"8170:cc,7082:cc,11754:none,15407:cc,14341:cc"
18508,252256,327933,252256,"8170:cc,18512:cc,15407:cc,14341:cc"
18509,668480,869024,668480,"8170:cc,12607:vendor,15416:cc,15414:cc,14341:cc"
18510,394710,513123,394710,"8170:cc,18512:cc,15407:cc,14341:cc"
18511,651250,846625,651250,"12810:cc,12753:none,14341:cc"
18582,542322,705019,542322,"18584:derived,18583:derived"
18583,271161,352509,271161,18582:derived
18584,271161,352509,271161,18582:derived
18608,976000,1268800,976000,"18659:none,18646:none,18665:cc"
18634,1187848,1544202,1187848,"15994:cc,18631:cc,12361:cc,7078:cc,3829:cc,13467:cc"
18637,626800,814840,626800,"16000:cc,18631:cc,14047:cc"
18638,4130256,5369333,4130256,"11371:cc,18631:cc,7080:cc,7910:cc,12800:cc"
18639,5236520,6807476,5236520,"11371:cc,18631:cc,12803:cc,12808:cc,12800:cc,12799:cc"
18645,206425,268352,206425,"12359:cc,7191:cc"
19026,8385,10900,8385,"15992:cc,14047:cc,8150:cc"
19043,1555434,2022064,1555434,"12359:cc,7076:cc,12803:cc"
19044,1743296,2266285,1743296,"8170:cc,12803:cc,15407:cc,14341:cc"
19047,1383812,1798956,1383812,"14048:cc,7076:cc,12803:cc,14227:cc"
19048,2704812,3516256,2704812,"12360:cc,7076:cc,12803:cc"
19049,2707350,3519555,2707350,"12810:cc,12804:cc,12803:cc,15407:cc,14227:cc"
19050,3339016,4340721,3339016,"14342:cc,7076:cc,12803:cc,14227:cc"
19052,2014998,2619497,2014998,"8170:cc,12809:cc,7080:cc,15407:cc,14341:cc"
19056,7272504,9454255,7272504,"14048:cc,12810:cc,13926:cc,12809:cc,14227:cc"
19057,460766,598996,460766,"12360:cc,6037:cc,12811:cc"
19058,2043692,2656800,2043692,"12810:cc,12803:cc,12809:cc,15407:cc,14341:cc"
19059,1340204,1742265,1340204,"14342:cc,12809:cc,14227:cc"
19148,1635096,2125625,1635096,"17011:cc,17010:cc,11371:cc"
19149,497758,647085,497758,"17011:cc,17012:cc,14227:cc"
19156,3963234,5152204,3963234,"14342:cc,17010:cc,17011:cc,7078:cc,14227:cc"
19157,1067152,1387298,1067152,"17010:cc,17011:cc,17012:cc,14227:cc"
19162,1261200,1639560,1261200,"17010:cc,17012:cc,8170:cc,14227:cc"
19163,577358,750565,577358,"17010:cc,17011:cc,17012:cc,14227:cc"
19164,2053618,2669703,2053618,"17011:cc,17010:cc,17012:cc,11371:cc,11382:cc"
19165,4180634,5434824,4180634,"14342:cc,17010:cc,17011:cc,7078:cc,14227:cc"
19166,2444422,3177749,2444422,"17011:cc,17010:cc,12360:cc,11382:cc,11371:cc"
19167,3233970,4204161,3233970,"17011:cc,17010:cc,12360:cc,11371:cc"
19168,3503232,4554202,3503232,"17011:cc,17010:cc,12360:cc,11371:cc,12809:cc"
19169,5701116,7411451,5701116,"17011:cc,17010:cc,12360:cc,11371:cc,12364:cc"
19170,4411408,5734830,4411408,"17011:cc,17010:cc,12360:cc,11371:cc,12800:cc"
19228,87500,113750,87500,"19230:vendor,19231:vendor,19232:vendor,19233:vendor,19234:vendor,19235:vendor,19236:vendor"
19257,87500,113750,87500,"19259:vendor,19260:vendor,19261:vendor,19262:vendor,19263:vendor,19264:vendor,19265:vendor"
19267,87500,113750,87500,"19269:vendor,19270:vendor,19271:vendor,19272:vendor,19273:vendor,19274:vendor,19275:vendor"
19277,87500,113750,87500,"19278:vendor,19279:vendor,19280:vendor,19281:vendor,19282:vendor,19283:vendor,19284:vendor"
19440,1590,2067,1590,19441:cc
19682,3538403,4599924,3538403,"14342:cc,19726:cc,12804:cc,14227:cc"
19683,4706202,6118063,4706202,"14342:cc,19726:cc,12804:cc,14227:cc"
19684,4669002,6069703,4669002,"14342:cc,19726:cc,14227:cc"
19685,1754746,2281170,1754746,"19767:cc,15407:cc,12803:cc,14341:cc"
19686,1653846,2150000,1653846,"19767:cc,15407:cc,12803:cc,14341:cc"
19687,1594196,2072455,1594196,"19767:cc,15407:cc,12803:cc,14341:cc"
19688,312700,406510,312700,"19768:cc,15407:cc,14341:cc"
19689,312700,406510,312700,"19768:cc,15407:cc,14341:cc"
19690,1119180,1454934,1119180,"12359:cc,19774:cc,7910:cc"
19691,886104,1151935,886104,"12359:cc,19774:cc,7910:cc"
19692,913028,1186936,913028,"12359:cc,19774:cc,12810:cc"
19693,1607000,2089100,1607000,"12359:cc,19774:cc,12799:cc"
19694,1443162,1876111,1443162,"12359:cc,19774:cc,12799:cc"
19695,1130014,1469018,1130014,"12359:cc,19774:cc,12799:cc"
19931,133368,173378,133368,"12938:none,19943:cc,12804:cc,13468:cc"
19932,19600,25480,19600,3826:cc
19998,5721122,7437459,5721122,"19726:cc,12800:cc,12804:cc"
19999,3980596,5174775,3980596,"19726:cc,7910:cc,12804:cc,12810:cc"
20002,19186,24942,19186,"13463:cc,13464:cc,8925:cc"
20004,45098,58627,45098,"8846:cc,13466:cc,8925:cc"
20007,40446,52580,40446,"13463:cc,13466:cc,8925:cc"
20039,2336018,3036823,2336018,"17011:cc,17010:cc,17012:cc,11371:cc"
20295,706200,918060,706200,"8170:cc,15415:cc,15407:cc,14341:cc"
20380,1551119,2016455,1551119,"8170:cc,20381:cc,12803:cc,14341:cc"
20416,15638,20329,15638,"8170:cc,4625:cc"
20418,12494,16242,12494,"8170:cc,7069:cc"
20419,11496,14945,11496,"8170:cc,12365:cc"
20420,11975,15568,11975,"8170:cc,4791:cc"
20432,687523,893780,687523,"20520:cc,4625:cc"
20433,671803,873344,671803,"20520:cc,7069:cc"
20435,666813,866857,666813,"20520:cc,12365:cc"
20436,669208,869970,669208,"20520:cc,4791:cc"
20447,240258,312335,240258,"11144:cc,4625:cc"
20448,177378,230591,177378,"11144:cc,7069:cc"
20449,157418,204643,157418,"11144:cc,12365:cc"
20450,166998,217097,166998,"11144:cc,4791:cc"
20476,35444,46077,35444,"20501:cc,20498:cc,18512:cc"
20477,69434,90264,69434,"20501:cc,20498:cc,18512:cc,15407:cc"
20478,103424,134451,103424,"20501:cc,20498:cc,18512:cc,15407:cc"
20479,392960,510848,392960,"20500:cc,20498:cc,7078:cc,15407:cc"
20480,359070,466791,359070,"20500:cc,20498:cc,7078:cc,15407:cc"
20481,325180,422734,325180,"20500:cc,20498:cc,7078:cc"
20537,4408136,5730577,4408136,"14048:cc,20520:cc,14256:cc,12810:cc,14227:cc"
20538,5735368,7455978,5735368,"14048:cc,20520:cc,14256:cc,14227:cc"
20539,4279570,5563441,4279570,"14048:cc,20520:cc,14256:cc,12810:cc,14227:cc"
20549,4453036,5788947,4453036,"12359:cc,20520:cc,6037:cc,12810:cc"
20550,7205060,9366578,7205060,"12359:cc,20520:cc,6037:cc"
20551,5764048,7493262,5764048,"12359:cc,20520:cc,6037:cc,11754:none"
20956,39144,50887,39144,"1206:cc,1529:cc,2842:cc,20817:cc"
21023,146677,190680,146677,"9061:cc,8150:cc,21024:none"
21278,2141002,2783303,2141002,"12810:cc,7082:cc,14227:cc"
21342,2862656,3721453,2862656,"14256:cc,17012:cc,7078:cc,14227:cc"
21569,231887,301453,231887,"9060:cc,9061:cc,10560:cc,10561:cc"
21570,187264,243443,187264,"10561:cc,9061:cc"
21574,17744,23067,17744,"10505:cc,4304:cc"
21714,12704,16515,12704,"15992:cc,8170:cc"
21716,12704,16515,12704,"15992:cc,8170:cc"
21718,12704,16515,12704,"15992:cc,8170:cc"
21748,319222,414989,319222,"1529:cc,6037:cc,11137:cc,20963:cc"
21756,37732,49052,37732,"3577:cc,3864:cc"
21758,261132,339472,261132,"7971:cc,8151:cc"
21760,175350,227955,175350,"7909:cc,6037:cc,7075:cc,7079:cc,8151:cc"
21763,171388,222804,171388,"7910:cc,6037:cc,7077:cc,7081:cc,8151:cc"
21766,455880,592644,455880,"12799:cc,21752:cc,6037:cc,11178:cc,20963:cc"
21769,336694,437702,336694,"7910:cc,7078:cc,8152:cc,6037:cc"
21774,968020,1258426,968020,"12364:cc,12799:cc,12361:cc,12360:cc,12359:cc"
21777,606600,788580,606600,"12364:cc,12360:cc,12359:cc,12804:cc"
21779,1997335,2596536,1997335,"21929:cc,7078:cc,12803:cc"
21780,414952,539438,414952,"12359:cc,11382:cc,7910:cc,12938:none"
21784,656332,853232,656332,"18335:none,11754:none,12800:cc,12360:cc,12359:cc"
21785,197781,257115,197781,12364:cc
21786,214328,278626,214328,12800:cc
21789,1150800,1496040,1150800,"11371:cc,12360:cc,7910:cc"
21791,1804258,2345535,1804258,"12364:cc,12803:cc,12804:cc"
21792,552022,717629,552022,"12800:cc,21752:cc,12360:cc"
21793,2227708,2896020,2227708,"12360:cc,7076:cc,7082:cc"
21846,4022024,5228631,4022024,"24271:cc,21884:cc,21881:cc"
21847,5004048,6505262,5004048,"24271:cc,21884:cc,21881:cc"
21848,6557084,8524209,6557084,"24271:cc,21884:cc,21881:cc"
21860,410662,533861,410662,"21842:cc,21887:cc,21881:cc,14341:cc"
21863,293800,381940,293800,"21844:cc,21887:cc,14341:cc"
21865,325000,422500,325000,"21844:cc,14341:cc"
21866,570520,741676,570520,"21840:cc,22445:cc,14341:cc"
21867,759860,987818,759860,"21840:cc,22445:cc,14341:cc"
21868,989200,1285960,989200,"21840:cc,22445:cc,14341:cc"
21869,1837390,2388607,1837390,"24272:cc,21885:cc,21881:cc"
21870,2182468,2837208,2182468,"24272:cc,21885:cc,21881:cc"
21871,3061624,3980111,3061624,"24272:cc,21885:cc,21881:cc"
21874,1780520,2314676,1780520,"21845:cc,21881:cc,21886:cc"
21875,3939786,5121722,3939786,"21845:cc,22457:cc,21881:cc"
21946,45,58,45,9282:derived
21983,45,58,45,9282:derived
21986,45,58,45,9282:derived
22115,45,58,45,9282:derived
22191,4130302,5369393,4130302,"22203:vendor,22202:cc,12810:cc,12809:cc,12800:cc"
22194,2188000,2844400,2188000,"22203:vendor,22202:cc,12810:cc,13512:cc"
22195,1093000,1420900,1093000,"22202:cc,12810:cc"
22196,4000404,5200525,4000404,"22203:vendor,22202:cc,12655:cc,7076:cc,12364:cc"
22197,988856,1285513,988856,"22202:cc,12655:cc,7076:cc"
22198,1779712,2313626,1779712,"22203:vendor,22202:cc,12655:cc,7076:cc"
22249,619052,804768,619052,"14048:cc,14344:cc,12810:cc,14227:cc"
22383,1462998,1901897,1462998,"12360:cc,20725:cc,13512:cc,12810:cc"
22384,17668660,22969258,17668660,"12360:cc,11371:cc,12808:cc,20520:cc,15417:cc,12753:none"
22385,1609280,2092064,1609280,"12360:cc,12655:cc,7076:cc,13510:cc"
